Column,Bank,Type,W,L,Unit Cell,Block Cell,Top Block,Well/Sub,VDD,Notes,Column,Bank,Type,W,L,Unit Cell,Block Cell,Top Block,Well/Sub,VDD,Notes
155,4,pshort,1.5,2.25,UC38/COL38,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
156,4,pshort,2.25,0.1,UC39/COL39,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
157,4,pshort,2.25,0.1,UC39/COL39,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
158,4,pshort,2.25,2.25,UC40/COL40,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
159,4,pshort,2.25,2.25,UC40/COL40,BLOCK_PFETLV,BLOCK_PMOSLV,nwell,1.2,,,,,,,,,,,,
160,5,pthickbc,0.42,0.27,UC49/COL49,BLOCK_PFETHV_BC,BLOCK_PMOSHV,nwell,3.3,,,,,,,,,,,,
161,5,pthickbc,0.42,0.27,UC49/COL49,BLOCK_PFETHV_BC,BLOCK_PMOSHV,nwell,3.3,,,,,,,,,,,,
162,5,pthickbc,0.42,7,UC50_1/COL50,BLOCK_PFETHV_BC,BLOCK_PMOSHV,nwell,3.3,,,,,,,,,,,,
163,5,pthickbc,0.42,7,UC50_1/COL50,BLOCK_PFETHV_BC,BLOCK_PMOSHV,nwell,3.3,,,,,,,,,,,,
164,5,pthickbc,1.2,0.27,UC51/COL51,BLOCK_PFETHV_BC,BLOCK_PMOSHV,nwell,3.3,,,,,,,,,,,,
165,5,pthickbc,1.2,0.27,UC51/COL51,BLOCK_PFETHV_BC,BLOCK_PMOSHV,nwell,3.3,,,,,,,,,,,,
166,5,pthickbc,1.2,0.5,UC52/COL52,BLOCK_PFETHV_BC,BLOCK_PMOSHV,nwell,3.3,,,,,,,,,,,,
167,5,pthickbc,1.2,0.5,UC52/COL52,BLOCK_PFETHV_BC,BLOCK_PMOSHV,nwell,3.3,,,,,,,,,,,,
168,5,pthickbc,1.2,0.8,UC53/COL53,BLOCK_PFETHV_BC,BLOCK_PMOSHV,nwell,3.3,,,,,,,,,,,,
169,5,pthickbc,1.2,0.8,UC53/COL53,BLOCK_PFETHV_BC,BLOCK_PMOSHV,nwell,3.3,,,,,,,,,,,,
170,5,pthickbc,1.2,7,UC54/COL54,BLOCK_PFETHV_BC,BLOCK_PMOSHV,nwell,3.3,,,,,,,,,,,,
171,5,pthickbc,1.2,7,UC54/COL54,BLOCK_PFETHV_BC,BLOCK_PMOSHV,nwell,3.3,,,,,,,,,,,,
172,5,pthickbc,7,0.27,UC55/COL55,BLOCK_PFETHV_BC,BLOCK_PMOSHV,nwell,3.3,,,,,,,,,,,,
