,currIn,v2
838,9.94601e-10,-0.516636
839,9.97671e-10,-0.502548
840,9.95197e-10,-0.495937
841,9.95538e-10,-0.484581
842,9.94515e-10,-0.468338
843,9.94772e-10,-0.453818
844,9.97074e-10,-0.443757
845,9.95197e-10,-0.430245
846,9.9571e-10,-0.417306
847,9.95283e-10,-0.396895
848,9.94856e-10,-0.37864
849,9.97585e-10,-0.360241
850,9.84966e-10,-0.343423
851,8.38726e-10,-0.331635
852,6.70912e-10,-0.328043
853,5.67223e-10,-0.32186
854,4.74534e-10,-0.314097
855,3.83209e-10,-0.307486
856,2.94783e-10,-0.296562
857,2.31938e-10,-0.288367
858,1.72249e-10,-0.282042
859,1.24412e-10,-0.275862
860,7.83658e-11,-0.267093
861,6.11413e-11,-0.265081
862,2.5754e-11,-0.263357
863,1.99556e-11,-0.261631
864,1.73116e-11,-0.259476
865,2.25139e-11,-0.259187
866,1.70565e-11,-0.262351
867,2.84827e-11,-0.262494
868,2.56681e-11,-0.263643
869,3.76916e-11,-0.264506
870,3.6242e-11,-0.266662
871,3.95679e-11,-0.266376
872,4.66454e-11,-0.267525
