,V1,currIn,v2
580,2.95484,9.93741e-10,-0.329206
581,2.95398,9.96299e-10,-0.326474
582,2.96001,9.92804e-10,-0.323744
583,2.95843,9.94081e-10,-0.322449
584,2.96016,9.97152e-10,-0.316556
585,2.96476,9.95787e-10,-0.313249
586,2.96706,9.934e-10,-0.309942
587,2.97468,9.905e-10,-0.308793
588,2.97396,9.92974e-10,-0.302899
589,2.97612,9.94338e-10,-0.2983
590,2.97914,9.89819e-10,-0.289242
591,2.9869,9.9212e-10,-0.285935
592,2.98992,9.93741e-10,-0.282631
593,2.99237,9.94338e-10,-0.272424
594,2.99912,9.91354e-10,-0.268254
595,3.00416,9.91268e-10,-0.253305
596,3.00718,9.91439e-10,-0.250716
597,3.01666,9.88369e-10,-0.231597
598,3.03119,9.83168e-10,-0.212622
599,3.04054,9.83168e-10,-0.186603
600,3.05319,9.86834e-10,-0.17194
601,3.0588,9.9016e-10,-0.155411
602,3.07447,9.86749e-10,-0.13356
603,3.08655,9.8223e-10,-0.110991
604,3.0992,9.81632e-10,-0.0839663
605,3.10998,9.86152e-10,-0.064559
606,3.12264,9.8547e-10,-0.0417018
607,3.13328,9.85897e-10,-0.0243092
608,3.14234,9.88113e-10,-0.00360727
609,3.15298,9.88539e-10,0.0123453
610,3.16433,9.87601e-10,0.0331879
611,3.17469,9.84277e-10,0.050292
612,3.18317,9.86238e-10,0.070703
613,3.19324,9.86322e-10,0.0914001
614,3.20776,9.82827e-10,0.112386
615,3.21782,9.85043e-10,0.13366
616,3.2322,9.87772e-10,0.149326
617,3.23537,9.905e-10,0.165427
618,3.2496,9.84958e-10,0.18713
619,3.26441,9.83252e-10,0.214441
620,3.27908,9.8564e-10,0.239882
621,3.28497,9.86834e-10,0.255694
622,3.29834,9.83252e-10,0.279698
623,3.31201,9.80012e-10,0.305715
624,3.32624,8.38805e-10,0.331874
625,3.32207,-2.25707e-10,0.312326
626,3.32739,-1.50527e-09,0.279841
627,3.34493,-2.42295e-09,0.246925
628,3.33745,-3.6632e-09,0.204811
629,3.33544,-5.33688e-09,0.127335
630,3.33357,-6.96315e-09,0.0492859
631,3.33889,-8.58746e-09,-0.0294828
632,3.33745,99100000000000005192630646116011999232,-0.10941
633,3.33645,99100000000000005192630646116011999232,-0.192642
634,3.33602,99100000000000005192630646116011999232,-0.274723
635,3.33314,99100000000000005192630646116011999232,-0.347462
636,3.32423,99100000000000005192630646116011999232,-0.400794
637,3.31201,99100000000000005192630646116011999232,-0.412869
638,3.30165,99100000000000005192630646116011999232,-0.393462
639,3.29662,99100000000000005192630646116011999232,-0.343006
640,3.289,99100000000000005192630646116011999232,-0.274291
641,3.28267,-9.10658e-09,-0.192065
642,3.28052,-6.77982e-09,-0.0930214
643,3.27965,-4.31492e-09,0.0153637
644,3.26556,-2.11529e-09,0.119429
645,3.27433,-4.37403e-11,0.210848
646,3.2391,1.02052e-09,0.282717
647,3.21768,1.00227e-09,0.287027
648,3.2092,9.9681e-10,0.285735
649,3.20977,9.98346e-10,0.283723
650,3.20848,9.98005e-10,0.279984
651,3.20891,9.97067e-10,0.283003
652,3.2079,9.96469e-10,0.280559
653,3.20747,9.97237e-10,0.282571
654,3.20819,9.96555e-10,0.278978
655,3.20776,9.95361e-10,0.278835
656,3.20733,9.95787e-10,0.277972
657,3.2023,9.99284e-10,0.274236
658,3.201,1.00124e-09,0.267336
659,3.19913,9.98175e-10,0.263312
660,3.1987,1.00082e-09,0.259573
661,3.18691,1.00491e-09,0.246062
662,3.17943,1.00346e-09,0.221484
663,3.17095,9.99284e-10,0.209267
